Timestamp,Who did you vote for as President?,"If you chose NOTA/ didn't vote/ voted randomly, then reason for it:","Before the debate, how interested were you in voting for the person you ended up choosing?",Did you participate in campaigning for the candidate you voted for?,How much did the campaigning by the candidate's team(for whom you voted) influence your vote?,"To your knowledge, did you and your close friends vote for the same candidate?",Did you think that the candidate you voted for is a better choice than last year's president?,Why did you vote for him?,"After the debate and primary elections, how interested were you in voting for the person you ended up choosing?",Who did you vote for as Mess secretary?,Why did you vote for him?.1,Your Program,How much did the campaigning by the candidate's team(for whom you voted) influence your vote?.1,How much did the campaigning by the candidate's team(for whom you voted) influence your vote?.2,What was the most appealing factor in the mess agenda
4/14/2024 21:51:58,Nihar Karthikeya,,6,No,3,Yes,8,Regional or some other kind of connection,8,Kaushal Singh,Regional or some other kind of connection,UG,,,
4/14/2024 22:05:57,Rishi Cheekatla,,2,No,1,Yes,5,You found the agenda appealing,5,Abhay Kosaraju,Friends insisted to choose him,PG,,,
4/14/2024 22:06:04,Nihar Karthikeya,,10,Yes,3,Yes,10,Just felt that he was better than the other,10,Kaushal Singh,You found the agenda appealing,UG,,,
4/14/2024 22:06:04,Nihar Karthikeya,,10,Yes,3,Yes,10,You are close friends (or) are from same branch,10,Kaushal Singh,You found the agenda appealing,UG,,,
4/14/2024 22:06:06,Rishi Cheekatla,,4,No,5,Yes,1,Friends insisted to choose him,1,Kaushal Singh,Friends insisted to choose him,UG,,,
4/14/2024 22:06:33,NOTA,Found no candidate worthy,4,No,3,Yes,8,Voted randomly/NOTA/Didn't vote,3,Kaushal Singh,You are close friends (or) are from same branch,UG,,,
4/14/2024 22:06:42,Nihar Karthikeya,Found no candidate worthy,5,Yes,4,Not sure,1,You found the agenda appealing,8,Kaushal Singh,You found the agenda appealing,UG,,,
4/14/2024 22:06:46,Rishi Cheekatla,,5,No,1,No,5,Voted randomly/NOTA/Didn't vote,5,Abhay Kosaraju,Just felt that he was better than the other,UG,,,
4/14/2024 22:06:47,Didn't Vote,Found no candidate worthy,1,No,1,No,1,Voted randomly/NOTA/Didn't vote,1,Didn't Vote,Voted Randomly/NOTA/ Didn't Vote,PG,,,
4/14/2024 22:08:15,Nihar Karthikeya,,5,No,1,Yes,7,Just felt that he was better than the other,7,Kaushal Singh,You found the agenda appealing,UG,,,
4/14/2024 22:08:25,Didn't Vote,Not interested in elections,1,No,1,Not sure,1,Voted randomly/NOTA/Didn't vote,1,Didn't Vote,Voted Randomly/NOTA/ Didn't Vote,PG,,,
4/14/2024 22:08:38,Rishi Cheekatla,,1,No,5,Not sure,5,Friends insisted to choose him,2,Kaushal Singh,Just felt that he was better than the other,UG,,,
4/14/2024 22:08:57,Rishi Cheekatla,,3,No,4,Yes,5,Friends insisted to choose him,3,Abhay Kosaraju,Just felt that he was better than the other,UG,,,
4/14/2024 22:09:30,Nihar Karthikeya,Found no candidate worthy,5,No,4,Yes,5,Just felt that he was better than the other,1,Kaushal Singh,Just felt that he was better than the other,UG,,,
4/14/2024 22:09:35,Rishi Cheekatla,,5,No,1,Not sure,5,You found the agenda appealing,5,Abhay Kosaraju,Regional or some other kind of connection,UG,,,
4/14/2024 22:10:51,Rishi Cheekatla,,5,No,5,Not sure,10,Just felt that he was better than the other,8,Abhay Kosaraju,Just felt that he was better than the other,PG,,,
4/14/2024 22:10:52,Rishi Cheekatla,,5,No,3,Yes,10,Friends insisted to choose him,5,Kaushal Singh,You found the agenda appealing,UG,,,
4/14/2024 22:11:43,Rishi Cheekatla,Found no candidate worthy,5,No,1,Yes,5,Voted randomly/NOTA/Didn't vote,5,Kaushal Singh,Just felt that he was better than the other,PG,,,
4/14/2024 22:12:01,Nihar Karthikeya,,5,No,2,Yes,6,Just felt that he was better than the other,7,Kaushal Singh,Regional or some other kind of connection,UG,,,
4/14/2024 22:12:17,Rishi Cheekatla,,7,No,4,Yes,7,You found the agenda appealing,8,Abhay Kosaraju,Friends insisted to choose him,PG,,,
4/14/2024 22:13:34,Rishi Cheekatla,,6,No,3,Yes,5,You are close friends (or) are from same branch,6,Kaushal Singh,You found the agenda appealing,UG,,,
4/14/2024 22:13:38,Rishi Cheekatla,,3,No,5,Yes,10,Just felt that he was better than the other,3,Abhay Kosaraju,Just felt that he was better than the other,PG,,,
4/14/2024 22:13:46,Rishi Cheekatla,,3,No,5,Yes,4,Just felt that he was better than the other,4,Kaushal Singh,Friends insisted to choose him,PG,,,
4/14/2024 22:14:04,Rishi Cheekatla,,5,No,1,Yes,8,You found the agenda appealing,5,Abhay Kosaraju,You are close friends (or) are from same branch,UG,,,
4/14/2024 22:16:47,Nihar Karthikeya,,7,No,2,Yes,9,Just felt that he was better than the other,9,Kaushal Singh,Just felt that he was better than the other,UG,,,
4/14/2024 22:18:15,Nihar Karthikeya,,7,Yes,3,Yes,8,Just felt that he was better than the other,10,Kaushal Singh,Just felt that he was better than the other,UG,,,
4/14/2024 22:19:54,NOTA,Found no candidate worthy,1,No,3,Yes,10,Voted randomly/NOTA/Didn't vote,2,Kaushal Singh,You found the agenda appealing,UG,,,
4/14/2024 22:22:59,Didn't Vote,Not interested in elections,1,No,1,No,1,Voted randomly/NOTA/Didn't vote,1,Didn't Vote,Voted Randomly/NOTA/ Didn't Vote,UG,,,
4/14/2024 22:28:00,Rishi Cheekatla,,2,Yes,2,Yes,5,Friends insisted to choose him,3,Abhay Kosaraju,Friends insisted to choose him,UG,,,
4/14/2024 22:29:04,Rishi Cheekatla,,1,No,3,Yes,5,Friends insisted to choose him,4,Abhay Kosaraju,Friends insisted to choose him,UG,,,
4/14/2024 22:30:31,Rishi Cheekatla,,3,No,1,Yes,8,Friends insisted to choose him,5,Abhay Kosaraju,Just felt that he was better than the other,UG,,,
4/14/2024 22:31:49,Nihar Karthikeya,,5,No,1,Not sure,10,Just felt that he was better than the other,10,Kaushal Singh,Just felt that he was better than the other,UG,,,
4/14/2024 22:33:30,Rishi Cheekatla,,7,No,4,Yes,10,You are close friends (or) are from same branch,10,Abhay Kosaraju,Voted Randomly/NOTA/ Didn't Vote,UG,,,
4/14/2024 22:34:33,Nihar Karthikeya,,2,No,2,Not sure,8,You found the agenda appealing,10,Kaushal Singh,You found the agenda appealing,UG,,,
4/14/2024 22:34:41,Nihar Karthikeya,,6,No,3,Yes,5,Just felt that he was better than the other,9,Abhay Kosaraju,Regional or some other kind of connection,UG,,,
4/14/2024 22:34:48,Nihar Karthikeya,,3,No,2,Yes,7,You found the agenda appealing,9,Abhay Kosaraju,Just felt that he was better than the other,UG,,,
4/14/2024 22:35:53,NOTA,Found no candidate worthy,4,No,2,Yes,5,Voted randomly/NOTA/Didn't vote,5,NOTA,Voted Randomly/NOTA/ Didn't Vote,UG,,,
4/14/2024 22:36:17,Rishi Cheekatla,,8,No,1,Not sure,5,Regional or some other kind of connection,8,Abhay Kosaraju,Friends insisted to choose him,UG,,,
4/14/2024 22:36:51,Didn't Vote,Not interested in elections,10,No,1,Not sure,10,Voted randomly/NOTA/Didn't vote,10,Didn't Vote,Voted Randomly/NOTA/ Didn't Vote,UG,,,
4/14/2024 22:36:52,Rishi Cheekatla,,10,Yes,5,Yes,10,You found the agenda appealing,10,Abhay Kosaraju,You found the agenda appealing,UG,,,
4/14/2024 22:36:59,Rishi Cheekatla,,8,No,3,Not sure,7,You found the agenda appealing,9,Kaushal Singh,You found the agenda appealing,UG,,,
4/14/2024 22:37:27,NOTA,Found no candidate worthy,7,No,3,Not sure,8,Voted randomly/NOTA/Didn't vote,7,Kaushal Singh,You found the agenda appealing,UG,,,
4/14/2024 22:38:13,Rishi Cheekatla,,10,No,5,Yes,5,Friends insisted to choose him,8,Abhay Kosaraju,Friends insisted to choose him,UG,,,
4/14/2024 22:40:07,Nihar Karthikeya,,7,No,4,Yes,7,You found the agenda appealing,10,Kaushal Singh,You found the agenda appealing,UG,,,
4/14/2024 22:41:20,Nihar Karthikeya,,7,No,2,Not sure,5,You found the agenda appealing,9,Kaushal Singh,You found the agenda appealing,UG,,,
4/14/2024 22:42:19,Nihar Karthikeya,,7,No,4,Not sure,10,Just felt that he was better than the other,7,Kaushal Singh,You found the agenda appealing,UG,,,
4/14/2024 22:42:27,Rishi Cheekatla,,10,Yes,1,Yes,8,Just felt that he was better than the other,10,Abhay Kosaraju,Just felt that he was better than the other,UG,,,
4/14/2024 22:49:16,NOTA,Found no candidate worthy,4,No,4,No,3,Voted randomly/NOTA/Didn't vote,2,Kaushal Singh,Just felt that he was better than the other,UG,,,
4/14/2024 22:52:12,Nihar Karthikeya,,4,No,1,Yes,7,Friends insisted to choose him,7,Kaushal Singh,You found the agenda appealing,UG,,,
4/14/2024 22:53:11,Rishi Cheekatla,,10,No,1,Yes,8,You are close friends (or) are from same branch,9,Kaushal Singh,You found the agenda appealing,UG,,,
4/14/2024 22:55:49,NOTA,Found no candidate worthy,2,No,1,Not sure,3,Voted randomly/NOTA/Didn't vote,2,Kaushal Singh,Just felt that he was better than the other,UG,,,
